#Digilent WaveForms Network Analyzer - Bode
#Device Name: DiscoveryStudio
#Serial Number: SN:210384B2F9A0
#Date Time: 2024-09-04 00:28:50.451
#Start: 10 Hz
#Stop: 100000 Hz
#Steps: 401
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.54337 V
#Offset: 0.000283953 V
#Relative: no
#Channel: Channel 2
#Range: 5.50952 V
#Offset: 0.000258603 V
#Relative: yes

#
Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10,0.01077192649732253,-28.80582558954416,85.73241190552736
10.23292992280754,0.01078260558676254,-28.60726980744607,85.63069529726724
10.471285480509,0.01096224099344924,-28.40971410013346,85.54339557074741
10.71519305237606,0.01108772467925607,-28.20926391518545,85.4309438976004
10.96478196143185,0.01106422274988345,-28.00907675723748,85.34057869628165
11.22018454301963,0.01072084993592907,-27.80873434931913,85.23789213544696
11.48153621496883,0.01100825157901585,-27.61266914023491,85.12641988855638
11.74897554939529,0.0107831220162058,-27.41926080064518,85.03979660716351
12.02264434617413,0.01103042566348305,-27.21972303068986,84.89731620142533
12.30268770812381,0.01119197502930046,-27.01569123047761,84.78067178802515
12.58925411794167,0.01102054517479975,-26.82025874357874,84.66956118882064
12.88249551693134,0.01110432076165181,-26.62451773817087,84.55195593838243
13.18256738556407,0.01103050746866437,-26.42330032084933,84.41583150946914
13.48962882591653,0.01115750813752702,-26.22483252635817,84.28833408948796
13.80384264602885,0.0108975021696508,-26.02721003362298,84.17440442947827
14.12537544622754,0.01091203390310375,-25.83064507782539,84.01560192715763
14.45439770745928,0.01097376786022363,-25.6318996222873,83.89252878084486
14.79108388168207,0.01099433632075963,-25.43497339955327,83.74876212032081
15.13561248436209,0.01095460212665988,-25.23823537945505,83.63022692523003
15.48816618912481,0.01118191563055086,-25.0454335181993,83.46545862797609
15.84893192461114,0.01112418410408134,-24.846825290164,83.30740978685873
16.2181009735893,0.01102458987518643,-24.65161964057391,83.16329943699708
16.59586907437561,0.01109741991772866,-24.45326935850684,82.9974090711429
16.98243652461744,0.01102284026698273,-24.25760925997489,82.85205995057022
17.37800828749376,0.01080849555936999,-24.05706687523697,82.6906852624993
17.78279410038923,0.01103635174671154,-23.86055195660807,82.5150867086209
18.19700858609983,0.0105160151483247,-23.66219090949441,82.35215128706021
18.62087136662868,0.01077524542995027,-23.46527084325882,82.17906259586185
19.05460717963248,0.01091802286645813,-23.27187127066646,81.9963927178063
19.49844599758046,0.01070530673012182,-23.0732900233403,81.81891571685367
19.95262314968879,0.01067010713657368,-22.87823176778153,81.64199774682658
20.4173794466953,0.01049261153234524,-22.68274723642348,81.43534712115479
20.89296130854039,0.01086345980729539,-22.4841546050465,81.24107382035893
21.37962089502232,0.01068563461724046,-22.29069471651372,81.03989803550121
21.87761623949552,0.01070959329958761,-22.09846930496263,80.83501980410017
22.3872113856834,0.01056348811903761,-21.90264340676963,80.6214636687433
22.90867652767772,0.01076528563552503,-21.70827550432093,80.41722990565489
23.44228815319923,0.0105114314236137,-21.51322288243134,80.19954105113732
23.9883291901949,0.01075197796534389,-21.32074174513388,79.97713689389457
24.54708915685031,0.01068754209685286,-21.12750092002848,79.76362858287102
25.1188643150958,0.01067383957669979,-20.93303502602553,79.52006536536715
25.70395782768865,0.0106215538818075,-20.73965850136956,79.28684774774661
26.30267991895381,0.01042737538510406,-20.54541017457467,79.02988658099835
26.91534803926917,0.01030672370363233,-20.35414869142588,78.79101220386538
27.54228703338166,0.01017726700092337,-20.16318641580672,78.54716188290115
28.18382931264455,0.01022231818343178,-19.97230930544662,78.28556601433455
28.84031503126606,0.01030458677860604,-19.78114022900602,78.01833381536046
29.51209226666384,0.01020646586292303,-19.58973834024758,77.7584791385637
30.19951720402016,0.01035415155619189,-19.39680717541864,77.47805472368785
30.90295432513592,0.01006596731417864,-19.20754221331311,77.20055842645057
31.62277660168379,0.01011352082762845,-19.01770502038276,76.91468911388118
32.35936569296281,0.01011243966220239,-18.82833323909213,76.61903427989694
